Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Semana;Duração;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
DCCo;Tese em Ciências da Comunicação III;02582PL01;;0;;;;;;
MPP;Marketing Político;01714TP01;MPPA1;12;49;02:00:00;Sala Aulas Mestrado;;;
LG;Contabilidade Financeira I;L0638-2T01;GAi;30;46;01:30:00;Sala de Aulas normal;;;
LFC;Gestão do Marketing;L1805PL02;FCA3;32;50;01:30:00;Sala de Aulas normal;;;
LFC;Gestão do Marketing;L1805PL02;FCA3;32;50;01:30:00;Sala de Aulas normal;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;48;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;47;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;46;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;45;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;44;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;43;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;42;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;41;02:00:00;Não necessita de sala;;;
DHESD;Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I;02480S01;DHESDA1;18;40;02:00:00;Não necessita de sala;;;
MG;Contabilidade Avançada;M8488TP03;MGA2;36;48;01:30:00;Sala Aulas Mestrado;;;
MG;Contabilidade Avançada;M8488TP03;MGA2;36;48;01:30:00;Sala Aulas Mestrado;;;
MG;Contabilidade Avançada;M8488TP03;MGA2;36;45;01:30:00;Sala Aulas Mestrado;;;
MG;Contabilidade Avançada;M8488TP03;MGA2;36;42;01:30:00;Sala Aulas Mestrado;;;
MS;Globalização, Justiça Social e Direitos Humanos;01627TP01;MSocA1, MSA1;8;44;02:00:00;Sala Aulas Mestrado;;;
LP;Percepção de Pessoas e Relações Interpessoais;L5211T01;PC4, PC3, PC2, PC1;15;45;01:30:00;Sala de Aulas normal;;;
LP;Percepção de Pessoas e Relações Interpessoais;L5211T01;PC4, PC3, PC2, PC1;15;40;01:30:00;Sala de Aulas normal;;;
226;Introdução à Programação (Iefp);02996TP02;B;25;42;02:00:00;Sala de Aulas normal;;;
226;Introdução à Programação (Iefp);02996TP02;B;25;42;02:00:00;Sala de Aulas normal;;;
DPP;Metodologias em Políticas Públicas: o Método Comparativo;00961S01;DPPA1;21;48;02:00:00;Sala Aulas Mestrado;;;
LP;Percepção, Atenção e Memória;L5209PL03;PA3, PA1;61;47;01:30:00;Sala de Aulas normal;;;
LP;Percepção, Atenção e Memória;L5209PL03;PA3, PA1;61;45;01:30:00;Sala de Aulas normal;;;
MGI;Negociação (Mim);M8562TP01;MGIA1;37;0;03:00:00;;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;48;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;47;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;46;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;45;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;44;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;43;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;42;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;41;02:00:00;Sala de Aulas normal;;;
PGJILP;Jornalismo de Dados e Visualização de Informação;02208TP01;;0;40;02:00:00;Sala de Aulas normal;;;
MEMSSFC;Sociologia da Família (Em);02164TP02;MEMSSFCA1;21;37;05:00:00;Sala Aulas Mestrado;;;
MEMSSFC;Sociologia da Família (Em);02164TP02;MEMSSFCA1;21;37;04:00:00;Sala Aulas Mestrado;;;
MEMSSFC;Sociologia da Família (Em);02164TP02;MEMSSFCA1;21;37;04:00:00;Sala Aulas Mestrado;;;
LG;Investigação Operacional;IOTP06;GC3;39;51;01:30:00;Sala de Aulas normal;;;
LG;Macroeconomia;L0236PL09;GB6;30;50;01:30:00;Sala de Aulas normal;;;
LG;Macroeconomia;L0236PL09;GB6;30;39;01:30:00;Sala de Aulas normal;;;
LIGE;Gestão de Sistemas de Informação;L6049TP03;ID1;57;46;01:30:00;Sala de Aulas normal;;;
MG;Planeamento e Inovação em Marketing;01784T01;MGA1;38;48;01:30:00;Sala Aulas Mestrado;;;
MG;Planeamento e Inovação em Marketing;01784T01;MGA1;38;41;01:30:00;Sala Aulas Mestrado;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;51;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;50;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;49;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;48;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;47;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;46;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;45;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;44;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;43;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;42;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;41;02:30:00;Não necessita de sala;;;
MMA;Mercado da Arte Internacional;00931TP01;MMA-B1;20;40;02:30:00;Não necessita de sala;;;
DCCo;Tese em Ciências da Comunicação III;02582S02;;0;0;00:00:00;;;;
MF;Seminário de Projecto em Finanças;02036S01;MFB1;36;38;15:00:00;Sala Aulas Mestrado;;;
LGM;Estatística I;L0119-1TP01;GMKB1;56;44;01:30:00;Sala de Aulas normal;;;
